52.207.98.12,443
52.21.64.47,443
52.222.35.187,443,80
52.6.187.197,80,443
52.85.74.101,80,443
52.85.74.103,443,80
52.85.74.110,80,443
52.85.74.112,443,80
52.85.74.113,80,443
52.85.74.116,443,80
52.85.74.12,443,80
52.85.74.122,80,443
52.85.74.125,80,443
52.85.74.127,80,443
52.85.74.128,443,80
52.85.74.130,80,443
52.85.74.132,443,80
52.85.74.134,80,443
52.85.74.135,80,443
52.85.74.14,443,80
52.85.74.140,80,443
52.85.74.144,80,443
52.85.74.152,80,443
52.85.74.153,443,80
52.85.74.162,443,80
52.85.74.166,443,80
52.85.74.168,80,443
52.85.74.170,80,443
52.85.74.173,80,443
52.85.74.179,443,80
52.85.74.184,443,80
52.85.74.189,80,443
52.85.74.19,80,443
52.85.74.194,443,80
52.85.74.199,443,80
52.85.74.208,80,443
52.85.74.209,443,80
52.85.74.21,80,443
52.85.74.215,443,80
52.85.74.216,443,80
52.85.74.220,80,443
52.85.74.223,443,80
52.85.74.231,80,443
52.85.74.235,443,80
52.85.74.240,80,443
52.85.74.245,80,443
52.85.74.251,80,443
52.85.74.252,443,80
52.85.74.29,443,80
52.85.74.32,443,80
52.85.74.34,80,443
52.85.74.46,443,80
52.85.74.47,80,443
52.85.74.50,80,443
52.85.74.54,443,80
52.85.74.67,443,80
52.85.74.75,443,80
52.85.74.76,80,443
52.85.74.77,80,443
52.85.74.81,443,80
52.85.74.94,80,443
52.85.74.97,443,80
52.85.74.98,80,443
96.127.47.199,443,80
