account.whatsapp.com,169.44.82.120
alpha.whatsapp.com,169.44.82.102
api.whatsapp.com,169.44.85.94
autodiscover.whatsapp.com,199.201.64.24
beta.whatsapp.com,184.173.147.39
betablog.whatsapp.com,169.44.82.102
blog.whatsapp.com,169.44.82.102
chat.whatsapp.com,169.55.74.56
dev-web.whatsapp.com,173.192.219.153
dyn.web.whatsapp.com,169.55.74.36
faq.whatsapp.com,179.60.192.51
gamma.whatsapp.com,184.173.147.38
m.whatsapp.com,192.155.212.202
media.whatsapp.com,169.44.82.102
smtp101.sjc.whatsapp.com,198.23.80.20
translate-dev.whatsapp.com,174.36.251.208
translate.whatsapp.com,108.168.174.7
up.web.whatsapp.com,158.85.224.171
v.whatsapp.com,192.155.212.203
w0.whatsapp.com,184.173.147.38
w1.web-t.whatsapp.com,158.85.73.190
w1.web.whatsapp.com,169.55.74.45
w2.web-t.whatsapp.com,158.85.73.190
w2.web.whatsapp.com,169.55.74.36
w3.web-t.whatsapp.com,158.85.73.190
w3.web.whatsapp.com,169.55.74.45
w4.web-t.whatsapp.com,158.85.73.190
w4.web.whatsapp.com,169.55.74.56
w5.web.whatsapp.com,158.85.224.175
w6.web.whatsapp.com,169.44.85.94
w7.web.whatsapp.com,158.85.224.178
w8.web.whatsapp.com,158.85.224.177
w9.web.whatsapp.com,158.85.224.173
web-t.whatsapp.com,158.85.73.190
web.whatsapp.com,179.60.192.51
whatsapp.com,184.173.147.38
www.whatsapp.com,184.173.147.38
wwwl.whatsapp.com,184.173.161.64
