6.bing.com,2620:1EC:C11::200
a1.bing.com,92.122.122.137
a2.bing.com,92.122.122.145
a3.bing.com,92.122.122.137
a4.bing.com,92.122.122.137
agent.bing.com,52.178.146.3
akam.bing.com,92.122.122.145
api-test.bing.com,69.192.64.15
api.bing.com,13.107.5.80
api.choice.bing.com,52.161.110.112
api.health.appex.bing.com,92.122.122.139
api2.health.appex.cn.bing.com,203.130.58.30
appex.cn.bing.com,203.130.58.30
appproducer.bing.com,157.55.210.117
apxs.services.appex.bing.com,137.135.88.70
arc.bing.com,131.253.40.70
bl2.m.bing.com,65.55.119.94
blob.appex.bing.com,92.122.122.137
blob.appex.cn.bing.com,113.207.33.153
blogs.bing.com,13.82.28.159
business.bing.com,13.107.6.158
cashbackaccount.bing.com,69.192.64.15
ch1.m.bing.com,70.37.130.30
ch1.wp.m.bing.com,70.37.130.180
choice.bing.com,65.55.130.50
classroom.bing.com,204.79.197.226
click.email2.bing.com,66.231.91.47
click.email3.bing.com,13.111.36.32
cn.ssl.bing.com,2.17.220.18
cpt.bing.com,92.122.122.145
db4.api.bing.com,13.107.5.80
download.cortana.cn.bing.com,104.43.141.48
email2.bing.com,68.232.201.28
email3.bing.com,68.232.201.28
emoi-cn.bing.com,42.159.238.20
emoi-cncdn.bing.com,203.130.61.205
ewr.wp.m.bing.com,70.37.131.161
explicit.any.edge.bing.com,204.79.197.201
fd.perf1.m.bing.com,92.122.122.137
finance.services.appex.bing.com,95.101.127.25
finance.services.appex.cn.bing.com,203.130.58.30
financequotes.services.appex.bing.com,95.101.127.25
fpt.bing.com,65.52.108.114
funapi.bing.com,13.107.6.158
global.bing.com,204.79.197.214
h.bing.com,207.46.194.10
health.appex.cn.bing.com,112.84.133.11
hk2.api.bing.com,13.107.5.80
image.email3.bing.com,23.38.20.105
it.ssl.bing.com,2.17.220.18
lax.m.bing.com,65.54.71.70
lfs.sg1.bing.com,111.221.19.147
livetiles.health.appex.cn.bing.com,203.130.58.30
llcupload.bing.com,65.55.224.122
magazines.appex.bing.com,92.122.122.139
microsoft.bing.com,207.46.119.102
mta.email2.bing.com,64.132.89.186
notification.cortana.cn.bing.com,23.99.117.250
nz.ssl.bing.com,2.17.220.18
pages.email3.bing.com,13.111.35.39
phone.finance.services.appex.bing.com,95.101.127.25
phone.sports.services.appex.bing.com,69.192.71.239
phone.sports.tile.appex.bing.com,69.192.71.239
pubhub.bing.com,138.91.136.141
services.appex.cn.bing.com,221.204.171.62
sg1.api.bing.com,13.107.5.80
speech-bn.bing.com,40.77.228.56
speech-ch.bing.com,131.253.14.254
speech-co.bing.com,65.55.2.84
speech-db.bing.com,40.77.226.244
speech-hk.bing.com,40.77.226.85
speech-ppe-bn.bing.com,40.77.228.57
speech-ppe-ch.bing.com,131.253.14.253
speech-ppe-co.bing.com,65.55.44.118
speech-ppe-db.bing.com,40.77.226.243
speech-ppe-hk.bing.com,40.77.226.84
speech-ppe.bing.com,65.55.44.118
speech.bing.com,40.77.226.244
sports.blob.appex.bing.com,69.192.71.239
sports.services-int.appex.bing.com,69.192.71.239
sports.services.appex.bing.com,69.192.71.239
sports.services.appex.cn.bing.com,203.130.58.30
sports.tile.appex.bing.com,69.192.71.239
sports.tile.appex.cn.bing.com,203.130.58.30
ssl-api.bing.com,13.107.5.80
ssl.api.health.appex.bing.com,0.0.0.0
ssl.travel.services.bing.com,23.96.93.126
strict.bing.com,204.79.197.220
testfamilysafety.bing.com,204.79.197.201
tile.appex.cn.bing.com,124.67.23.12
travel.services.appex.bing.com,92.122.122.136
udc.bing.com,111.221.29.16
upload.maps.bing.com,65.52.108.68
view.email3.bing.com,13.111.37.33
weather.services.appex.cn.bing.com,203.130.58.30
weather.tile.appex.cn.bing.com,203.130.58.30
wmstat.bing.com,131.253.34.227
work.bing.com,13.107.6.158
www.maps.bing.com,204.79.197.219
