accom.yahoo.co.uk,194.200.211.5
advertising.yahoo.co.uk,77.238.184.24
auctions.yahoo.co.uk,217.12.15.37
bt.yahoo.co.uk,217.12.15.37
cars.yahoo.co.uk,217.12.15.37
download.yahoo.co.uk,217.12.15.37
eurosport.yahoo.co.uk,217.12.15.37
finance.yahoo.co.uk,217.12.15.37
games.yahoo.co.uk,217.12.15.37
gateway.yahoo.co.uk,217.12.15.37
go.yahoo.co.uk,217.12.15.37
green.yahoo.co.uk,217.12.15.37
jobs.yahoo.co.uk,217.12.15.37
media.yahoo.co.uk,217.12.15.37
mobile.yahoo.co.uk,217.12.15.37
movies.yahoo.co.uk,217.12.15.37
msd.my.yahoo.co.uk,52.33.242.215
my.yahoo.co.uk,217.12.15.37
news.yahoo.co.uk,217.12.15.37
opera.yahoo.co.uk,217.12.15.37
pop.mail.yahoo.co.uk,217.146.190.238
quote.yahoo.co.uk,217.12.15.37
smtp.mail.yahoo.co.uk,217.146.190.250
sport.yahoo.co.uk,217.12.15.37
sports.yahoo.co.uk,217.12.15.37
travel.yahoo.co.uk,217.12.15.37
tv.yahoo.co.uk,217.12.15.37
wap.yahoo.co.uk,217.12.15.37
weather.yahoo.co.uk,217.12.15.37
www.bt.yahoo.co.uk,217.12.15.37
www.eurosport.yahoo.co.uk,217.12.15.37
www.mobile.yahoo.co.uk,76.13.28.196
www.yahoo.co.uk,217.12.15.37
yahoo.co.uk,72.30.203.4
yp.yahoo.co.uk,217.12.15.37
